RID dG0'r pH T I 
R24 -4.016 7.30 283.50 NaN 
R24 -3.641 7.30 292.60 NaN 
R24 -3.641 7.30 292.60 NaN 
R24 -3.241 7.30 302.50 NaN 
R24 -2.983 7.30 307.80 NaN 
R24 -3.697 6.35 292.80 NaN 
R24 2.185 7.50 303.15 NaN 
R24 3.146 8.00 310.15 NaN 
R24 -10.262 7.00 308.15 NaN 
R24 -10.308 7.00 308.15 NaN 
R24 -0.169 7.00 338.15 NaN 
R24 -0.356 7.00 348.15 NaN 
R24 -0.565 7.00 358.15 NaN 
R24 -0.106 7.00 333.15 NaN 
R24 -0.280 7.00 343.15 NaN 
R24 -0.491 7.00 353.15 NaN 
R24 -3.614 7.60 298.15 NaN 
R24 9.350 7.80 305.00 NaN 
R24 3.641 7.00 298.15 NaN 
R24 -0.213 9.00 333.15 NaN 
R24 1.819 7.15 298.15 NaN 
R24 1.879 7.15 308.15 NaN 
R24 -3.654 7.30 298.15 0.01 
R24 -3.776 7.30 298.15 0.10 
R8 -5.575 4.06 298.15 0.05 
R57 -4.295 5.00 298.15 0.05 
R43 -3.813 5.05 298.15 0.05 
R43 -3.710 6.06 298.15 0.05 
R25 -3.643 8.00 298.15 0.05 
R25 -3.688 9.01 298.15 0.05 
R25 -2.951 7.30 313.00 0.10 
R25 -3.551 7.30 307.70 0.10 
R25 -3.542 7.30 307.50 0.10 
R25 -3.497 7.30 307.50 0.10 
R24 -3.521 7.30 307.30 0.10 
R58 -3.900 7.30 304.10 0.10 
R59 -3.932 7.30 304.10 0.10 
R25 -3.899 7.30 303.60 0.10 
R19 -3.942 7.30 293.30 0.10 
R19 -4.143 7.30 291.20 0.10 
R24 -4.197 7.30 290.80 0.10 
R24 -4.167 7.30 290.80 0.10 
R24 -4.564 7.30 277.80 0.10 
R24 -4.564 7.30 277.80 0.10 
R24 -4.611 7.30 277.80 0.10 
R24 -4.689 4.91 292.60 0.10 
R24 -4.706 4.91 290.80 0.10 
R24 -4.770 4.91 290.80 0.10 
R24 -4.869 4.91 290.60 0.10 
R24 -4.730 4.91 290.80 0.10 
R24 -4.531 4.91 295.20 0.10 
R24 -3.602 7.30 298.15 0.00 
R24 -2.968 7.30 313.00 0.10 
R24 -3.754 6.00 298.15 0.05 
R24 -3.366 7.30 308.30 0.10 
R24 -3.844 7.30 294.10 0.10 
R24 -4.820 4.91 290.60 0.10 
R24 -3.922 7.30 298.15 0.25 
R24 -3.620 7.99 298.15 0.05 
R24 -3.524 7.30 307.60 0.10 
R24 -4.212 7.30 291.20 0.10 
R24 -4.842 4.91 277.90 0.10 
R24 -3.984 7.30 303.60 0.10 
R24 -4.553 4.91 307.50 0.10 
R24 -4.553 4.91 307.50 0.10 
R24 -3.682 6.01 298.15 0.05 
R24 -3.874 7.30 294.10 0.10 
R24 -3.693 7.30 298.15 0.05 
R24 -3.919 7.30 293.40 0.10 
R24 -4.621 4.91 292.60 0.10 
R24 -3.427 7.30 308.30 0.10 
R24 -19.489 8.00 303.15 NaN 
R24 -1.442 8.30 310.15 NaN 
R24 2.857 7.00 310.15 NaN 
R24 3.103 8.00 310.15 NaN 
R24 23.312 7.00 310.15 NaN 
R24 22.279 7.98 287.45 NaN 
R24 21.312 7.91 292.15 NaN 
R24 20.703 7.76 298.15 NaN 
R24 20.651 7.84 298.15 NaN 
R24 20.295 7.85 298.15 NaN 
R24 20.958 7.89 298.15 NaN 
R24 20.844 7.97 298.15 NaN 
R24 20.462 8.85 298.15 NaN 
R24 20.833 8.85 298.15 NaN 
R24 19.634 7.71 304.25 NaN 
R24 20.055 7.71 304.25 NaN 
R24 19.129 7.81 310.15 NaN 
R24 22.446 7.98 287.45 NaN 
R5 19.248 7.81 310.15 NaN 
R35 20.778 7.77 298.15 NaN 
R7 20.443 7.93 298.15 NaN 
R7 18.258 7.94 316.15 NaN 
R37 20.405 7.93 298.15 NaN 
R60 18.122 7.92 316.15 NaN 
R60 21.596 7.90 292.15 NaN 
R60 -5.435 5.42 303.15 0.07 
R60 -5.924 6.45 303.15 0.07 
R60 -6.172 7.50 303.15 0.07 
R60 -6.185 7.89 303.15 0.07 
R60 -5.563 6.22 293.15 0.07 
R60 -5.903 7.24 293.15 0.07 
R60 -6.000 8.06 293.15 0.07 
R60 -6.109 7.40 303.15 0.05 
R60 -6.111 7.40 303.15 0.03 
R60 -6.183 7.40 303.15 0.06 
R60 -5.912 7.45 303.15 0.30 
R60 -6.122 7.40 303.15 0.04 
R60 -5.806 6.20 303.15 0.07 
R60 -6.131 7.10 303.15 0.07 
R60 -5.976 6.66 303.15 0.07 
R60 -6.073 7.80 303.15 0.30 
R60 -6.066 7.40 303.15 0.09 
R60 -5.907 7.01 303.15 0.30 
R26 -6.146 8.12 303.15 0.30 
R26 -6.004 7.55 303.15 0.30 
R26 -6.064 7.89 303.15 0.30 
R26 -6.064 7.89 303.15 0.30 
R26 -5.816 6.97 303.15 0.30 
R26 -7.547 6.60 303.15 NaN 
R26 -1.481 7.50 303.15 NaN 
R26 -8.081 7.20 310.15 NaN 
R26 -9.473 8.50 311.15 NaN 
R26 -7.016 7.50 303.15 NaN 
R26 2.651 8.31 298.15 NaN 
R26 2.535 8.46 292.15 NaN 
